,artwork,titleLabel,materialLabel,genreLabel,collectionLabel,depictLabel,movementLabel,subjectLabel,creatorBirthPlaceLabel,creatorCountryLabel,creatorLabel,genderLabel,inceptionLabel,widthLabel,heightLabel,image,startTime,artworkLabel,locLabel,locatedLabel,endTime,countryLabel,instanceOfLabel,num_creators
117,http://www.wikidata.org/entity/Q72992722,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,Virgin Mary; angel,Mannerism; Q3578530,,Verona,Italy,Paolo Veronese,male,1600,[92.0],[110.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20Pdba%20veronese%20christ%20anges.JPG,{'nan'},Q72992722,Palais des Beaux-Arts de Lille,,,France,painting,1
118,http://www.wikidata.org/entity/Q72993080,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,crowd; saint,Mannerism; Q3578530,,Verona,Italy,Paolo Veronese,male,1577,[235.0],[86.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20veronese%20esquisse%20paradis.JPG,{'nan'},Q72993080,Palais des Beaux-Arts de Lille,,,France,painting,1
119,http://www.wikidata.org/entity/Q72995621,,oil paint,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,helmet; soldier; lantern; body armor; weapon,Baroque,,Antwerp,Belgium,Simon de Vos,male,1650,[72.3],[55.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20de%20Vos%20arrestation%20de%20jesus.JPG,{'nan'},Q72995621,Palais des Beaux-Arts de Lille,,,France,painting,1
120,http://www.wikidata.org/entity/Q72998453,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,cello; broad-leaved tree; singing; lute; angel; piano; score; watercourse,Baroque,,Saint-Omer,France,Arnould de Vuez,male,1800,[212.0],[270.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20de%20Vuez%20C%C3%A9cile.JPG,{'nan'},Q72998453,Palais des Beaux-Arts de Lille,,,France,painting,1
121,http://www.wikidata.org/entity/Q73008447,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,clothing; sea; broad-leaved tree; house; marshal; decoration; mountain; glove; Lucien Murat; king,neoclassicism,,Lille,France,Jean-Baptiste Wicar,male,1800,[39.5],[55.7],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PBA%20Wicar%20Murat.JPG,{'nan'},Q73008447,Palais des Beaux-Arts de Lille,,,France,painting,1
122,http://www.wikidata.org/entity/Q73008821,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,soldier; court decision; Solomon; child; body armor; throne; weapon,neoclassicism,Judgment of Solomon,Lille,France,Jean-Baptiste Wicar,male,1785,[155.0],[103.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20wicar%20jugement%20de%20salomon.JPG,{'nan'},Q73008821,Palais des Beaux-Arts de Lille,,,France,painting,1
123,http://www.wikidata.org/entity/Q73009180,,oil paint; canvas,history painting,Collection of paintings of the Palais des Beaux-Arts de Lille,bed; Livia; frieze; syncope; Virgil; dog; sett; reading; sculpture in the round; Augustus,neoclassicism,,Lille,France,Jean-Baptiste Wicar,male,1818,[69.0],[46.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20Wicar%20Virgile.JPG,{'nan'},Q73009180,Palais des Beaux-Arts de Lille,,,France,painting,1
124,http://www.wikidata.org/entity/Q73009973,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,fur; Frédéric Kuhlmann; chemist,academic art,,St. Blasien; Menzenschwand,Germany,Franz Xaver Winterhalter,male,1869,[74.0],[92.0],http://commons.wikimedia.org/wiki/Special:FilePath/Fr%C3%A9d%C3%A9ric%20Kuhlmann%20%281803-1881%29.jpg,{'nan'},Portrait of Frédéric Kuhlmann,Palais des Beaux-Arts de Lille,,,France,painting,1
125,http://www.wikidata.org/entity/Q73011028,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,lion; book; donkey; herb; nudity; skull; Jerome; river; mortification of the flesh; crucifix; tree; prayer,Flemish Baroque painting,Saint Jerome in the wilderness,Antwerp,Belgium,Artus Wolffort,male,1700,[192.0],[136.5],http://commons.wikimedia.org/wiki/Special:FilePath/Artus%20Wolffort%20-%20Saint%20Jerome%20in%20the%20Desert.jpg,{'nan'},Saint Jerome in the desert,Palais des Beaux-Arts de Lille,,,France,painting,1
126,http://www.wikidata.org/entity/Q73122306,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,Bonaventure,Flemish Baroque painting,,Siegen,Germany,Peter Paul Rubens,male,1700,[83.0],[148.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20rubens%20st%20bonaventure.jpg,{'nan'},Q73122306,Palais des Beaux-Arts de Lille,,,France,painting,1
127,http://www.wikidata.org/entity/Q73122650,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,ecstasy; Francis of Assisi,Flemish Baroque painting,Francis of Assisi,Siegen,Germany,Peter Paul Rubens,male,1700,[85.0],[148.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20Pdba%20Rubens%20st%20francois.JPG,{'nan'},Q73122650,Palais des Beaux-Arts de Lille,,,France,painting,1
128,http://www.wikidata.org/entity/Q73130218,,oil paint; canvas,genre art,Collection of paintings of the Palais des Beaux-Arts de Lille,bijou; clothing; house; woman; child; marriage; old age; bow,Orientalism,,Paris,France,Alfred Dehodencq,male,1879,[246.0],[320.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20dehodencq%20mariee%20juive.JPG,{'nan'},Q73130218,Palais des Beaux-Arts de Lille,,,France,painting,1
129,http://www.wikidata.org/entity/Q73131499,,oil paint; canvas,landscape art,Collection of paintings of the Palais des Beaux-Arts de Lille,Algeria; infantry; ford; major trauma; cavalry; weapon,Orientalism,,Bordeaux,France,Adrien Dauzats,male,1853,[115.0],[170.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20Dauzats%20passage%20portes%20de%20fer.JPG,{'nan'},Q73131499,Palais des Beaux-Arts de Lille,,,France,painting,1
130,http://www.wikidata.org/entity/Q73135745,,oil paint; wood,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,bijou; rosary; prayer nut; woman; table,German Renaissance,,Wesel; Cologne,Germany,Barthel Bruyn the Elder,male,1550,[78.3],[105.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20anonyme%20cologne%20portrait%20femme.JPG,{'nan'},"Portrait of a woman, wearing a white cornette and holding a rosary",Palais des Beaux-Arts de Lille,,,France,painting,1
131,http://www.wikidata.org/entity/Q73137940,,oil paint; canvas,allegory,Collection of paintings of the Palais des Beaux-Arts de Lille,branch; Laurus nobilis; virtue; justice; sword; woman; vice; Lady Justice; weighing scale,Mannerism; Sienese School,,Castelnuovo Berardenga,Italy,Domenico di Pace Beccafumi,male,1600,[151.0],[161.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20sienne%20all%C3%A9gorie%20justice.jpg,{'nan'},Q73137940,Palais des Beaux-Arts de Lille,,,France,painting,1
132,http://www.wikidata.org/entity/Q9198364,El Tiempo,oils; canvas,allegory,Collection of paintings of the Palais des Beaux-Arts de Lille,broom; mirror; woman; sitting; Chronos,Romanticism,,Fuendetodos,Spain,Francisco Goya,male,1810,[125.0],[181.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20goya%20les%20vieilles.jpg,{'nan'},El tiempo,Palais des Beaux-Arts de Lille,,,France,painting,1
