,artwork,titleLabel,materialLabel,genreLabel,collectionLabel,depictLabel,movementLabel,subjectLabel,creatorBirthPlaceLabel,creatorCountryLabel,creatorLabel,genderLabel,inceptionLabel,widthLabel,heightLabel,image,startTime,artworkLabel,locLabel,locatedLabel,endTime,countryLabel,instanceOfLabel,num_creators
34,http://www.wikidata.org/entity/Q2698149,Bélisaire demandant l’aumône,oil paint; canvas,genre art; history painting,Collection of paintings of the Palais des Beaux-Arts de Lille,blindness; general officer; wonder; soldier; woman; Belisarius; boy; beggar,neoclassicism,,Paris,France,Jacques-Louis David,male,1780,[312.0],[288.0],http://commons.wikimedia.org/wiki/Special:FilePath/David%20-%20Belisarius.jpg,{'nan'},Belisarius Begging for Alms,Palais des Beaux-Arts de Lille,,,France,painting,1
35,http://www.wikidata.org/entity/Q29272032,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,Catholic priest; Catherine of Alexandria; ram; soldier; Apollo; temple; woman; dog; axe; angel; crown,Flemish Baroque painting,martyr,Siegen,Germany,Peter Paul Rubens,male,1615,[249.0],[390.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20Pdba%20rubens%20catherine.JPG,{'nan'},the Martyrdom of S. Catherine,Palais des Beaux-Arts de Lille,Lille,,France,painting,1
37,http://www.wikidata.org/entity/Q29842418,Jeanne-Louise de Lorraine et son frère Charles-Louis de Lorraine,oil paint; canvas,portrait,Department of Paintings of the Louvre; Collection of paintings of the Palais des Beaux-Arts de Lille,family; cuirass; soldier; woman; sitting; Minerva; boy,Rococo,,Paris,France,Jean-Marc Nattier,male,1732,[159.0],[191.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20Nattier%20duchessede%20Lambesc.JPG,{'nan'},Q29842418,Palais des Beaux-Arts de Lille,,,France,painting,1
38,http://www.wikidata.org/entity/Q30224021,,oil paint,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,feather; bijou; woman; lace,Dutch Golden Age painting,,Haarlem,Netherlands,Bartholomeus van der Helst,male,1645,[65.8],[78.4],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20van%20der%20Helst%20portrait%20de%20femme.JPG,{'nan'},Portrait of a Woman holding a Feather,Palais des Beaux-Arts de Lille,,,France,painting,1
39,http://www.wikidata.org/entity/Q30308105,,oil paint,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,man,Dutch Golden Age painting,,Haarlem,Netherlands,Bartholomeus van der Helst,male,1645,[65.0],[78.4],http://commons.wikimedia.org/wiki/Special:FilePath/Bartholomeus%20van%20der%20Helst%20-%20Portrait%20of%20a%20Man%20PBA-Lille.jpg,{'nan'},Portrait of a Man,Palais des Beaux-Arts de Lille,,,France,painting,1
40,http://www.wikidata.org/entity/Q3211030,Naissance de Vénus,oil paint; canvas,nude; mythological painting,Collection of paintings of the Palais des Beaux-Arts de Lille,long hair; seashell; shore; head hair; breast; sea; nudity; woman; Venus; sky; mons pubis; part; contrapposto; glabrousness; red hair; waist; umbilicus; Bivalvia; Aphrodite; wind wave,academic art,Venus Anadyomene,Montrouge,France,Eugène Emmanuel Amaury Duval,male,1862,[109.0],[197.0],http://commons.wikimedia.org/wiki/Special:FilePath/Duval%20La%20Naissance%20de%20Venus.jpg,{'nan'},Birth of Venus,Palais des Beaux-Arts de Lille,,,France,painting,1
41,http://www.wikidata.org/entity/Q34504218,,oil paint,genre art,Collection of paintings of the Palais des Beaux-Arts de Lille,art of painting; smoking; man; ceramic; container; sitting; Tric Trac; drink,Baroque,,Haarlem,Netherlands,Dirck Hals,male,1630,[54.0],[38.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20D%20Hals%20tric%20trac.jpg,{'nan'},The Tric-Trac Players,Palais des Beaux-Arts de Lille,,,France,painting,1
42,http://www.wikidata.org/entity/Q47013750,La Becquée,oil paint; canvas,genre art,Collection of paintings of the Palais des Beaux-Arts de Lille,family; broad-leaved tree; basket; house; woman; child; hen; spoon; apron; seat; kitchen garden,Realism,,Gréville-Hague,France,Jean-François Millet,male,1860,[60.0],[74.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20millet%20la%20becqu%C3%A9e.jpg,{'nan'},The Beaked,Palais des Beaux-Arts de Lille,,,France,painting,1
43,http://www.wikidata.org/entity/Q47516452,La pêche miraculeuse. Les apôtres rapportent au Christ le fruit de leur prise,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,Sea of Galilee; Jesus; galley; Apostle; fish; Crustacea,Baroque,Miraculous catch of fish,Antwerp,Belgium,Gaspar de Crayer,male,1630,[328.5],[476.0],http://commons.wikimedia.org/wiki/Special:FilePath/Gaspar%20de%20Crayer%20-%20The%20miraculous%20draught%20of%20fish.jpg,{'nan'},Q47516452,Palais des Beaux-Arts de Lille,,,France,painting,1
44,http://www.wikidata.org/entity/Q48451485,,oil paint; canvas,religious art; history painting,Collection of paintings of the Palais des Beaux-Arts de Lille,fortification; broad-leaved tree; crowd; cupola; house; tower; sett; city gate,neoclassicism,,Lille,France,Jean-Baptiste Wicar,male,1816,[900.0],[570.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20Wicar%20resurrection.JPG,{'nan'},The resurrection of the son of the widow of Naim,Palais des Beaux-Arts de Lille,,,France,painting,1
45,http://www.wikidata.org/entity/Q50432908,Vétheuil dans la matinée,oil paint; canvas,landscape art,Collection of paintings of the Palais des Beaux-Arts de Lille,Seine; landscape; house; Vétheuil,Impressionism,,Paris,France,Claude Monet,male,1901,[92.5],[89.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20monet%20vetheuil%20matin.JPG,{'nan'},Vetheuil in the morning,Palais des Beaux-Arts de Lille,,,France,painting,1
46,http://www.wikidata.org/entity/Q51685404,,oil paint; wood,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,child; boy; clothing; lace,Baroque,,Haarlem,Netherlands,Johannes Cornelisz Verspronck,male,1634,[54.8],[71.3],http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20de%20Lille%20J.%20Verspronck%20Portrait....jpg,{'nan'},Portrait of a Boy,Palais des Beaux-Arts de Lille,,,France,painting,1
47,http://www.wikidata.org/entity/Q59193324,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,ex-voto; calvary; landscape; broad-leaved tree; procession; port; sailor; sailing ship; jetty; cemetery; sea,Naturalism,,Saint-Quentin,France,Ulysse Butin,male,1880,[232.0],[146.0],http://commons.wikimedia.org/wiki/Special:FilePath/L%27Ex-Voto%20Ulysse-Louis%20Butin.jpg,{'nan'},Q59193324,Palais des Beaux-Arts de Lille,,,France,painting,1
48,http://www.wikidata.org/entity/Q60649458,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,bijou; goldsmithing; skull; angel; Mary Magdalene; snake; old age; platter,Baroque; Flemish Baroque painting,,Antwerp,Belgium,Jacob Jordaens,male,1620,[96.7],[125.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20Jordaens%20tentation%20madeleine.JPG,{'nan'},Q60649458,Palais des Beaux-Arts de Lille,,,France,painting,1
49,http://www.wikidata.org/entity/Q60649460,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,headgear; wheat; ruins; nudity; woman; prayer; domestic worker; discussion; tool; Q16636872; tomb; tree; bow; column; capital,Mannerism,,Utrecht,Netherlands,Joachim Wtewael,male,1590,[208.0],[158.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20Wtewael%20lazare.JPG,{'nan'},The resurrection of Lazarus,Palais des Beaux-Arts de Lille,,,France,painting,1
50,http://www.wikidata.org/entity/Q61008950,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,mule; miracle; prayer; Anthony of Padua,Baroque painting,miracle,Antwerp,Belgium,Anthony van Dyck,male,1630,[216.0],[305.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20van%20Dick%20miracle%20mule.jpg,{'nan'},The miracle of the mule,Palais des Beaux-Arts de Lille,,,France,painting,1
51,http://www.wikidata.org/entity/Q61010042,Saint François recevant l'enfant Jésus des mains de la Vierge,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,Virgin Mary; angel; Francis of Assisi; Child Jesus,Flemish Baroque painting,,Siegen,Germany,Peter Paul Rubens,male,1617,[183.0],[234.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20Pdba%20rubens%20francois.JPG,{'nan'},St Francis receives the Christ Child from Mary,Palais des Beaux-Arts de Lille,,,France,painting,1
52,http://www.wikidata.org/entity/Q61657729,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,Christian cross; Philip the Apostle,Baroque,,Antwerp,Belgium,Simon de Vos,male,1648,[87.0],[70.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20de%20vos%20martyre%20st%20philippe.JPG,{'nan'},The martyrdom of Saint Philip,Palais des Beaux-Arts de Lille,,,France,painting,1
53,http://www.wikidata.org/entity/Q61697694,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,Catholic priest; Saint Maurice; nudity; soldier; body armor; thurible; horse,Baroque,,Münster,Germany,Jan Boeckhorst,male,1661,[276.0],[413.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20Boeckhorst%20st%20maurice.JPG,{'nan'},Q61697694,Palais des Beaux-Arts de Lille,,,France,painting,1
54,http://www.wikidata.org/entity/Q64855117,Le Baiser enfantin,oil paint; canvas,genre art,Palais des Beaux-Arts de Lille,garden; broad-leaved tree; woman; domestic worker; child; kiss,Naturalism,,Bey-sur-Seille,France,Jacques-Eugène Feyen,male,1865,[150.0],[107.0],http://commons.wikimedia.org/wiki/Special:FilePath/Le%20baiser%20enfantin%2C%20Jacques-Eug%C3%A8nes%20Feyan%20%285%29.jpg,{'nan'},Le Baiser enfantin,Palais des Beaux-Arts de Lille,,,France,painting,1
55,http://www.wikidata.org/entity/Q72167496,,oil paint; wood,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,sheep; landscape; Joseph; peach; John the Baptist; Virgin Mary; Tulipa; Holy Family; Rosa; sitting; Child Jesus; forest,Baroque,Holy Family,Mechelen,Belgium,Pieter van Avont,male,1700,[42.0],[54.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20van%20Avont%20ste%20famille.JPG,{'nan'},Q72167496,Palais des Beaux-Arts de Lille,,,France,painting,1
56,http://www.wikidata.org/entity/Q72176246,,oil paint; wood,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,watercourse,Florentine School; Early Renaissance,Madonna and Child,Florence,Italy,Sandro Botticelli,male,1500,[46.5],[62.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20botticelli%20ecole%20vierge%20enfant.jpg,{'nan'},Q72176246,Palais des Beaux-Arts de Lille,,,France,painting,1
57,http://www.wikidata.org/entity/Q72177884,,oil paint; wood,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,collar; bijou; fur; lace; glove; Dianthus,German Renaissance,,Wesel; Cologne,Germany,Barthel Bruyn the Elder,male,1540,[47.8],[65.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20bruyn%20homme.JPG,{'nan'},Q72177884,Palais des Beaux-Arts de Lille,,,France,painting,1
58,http://www.wikidata.org/entity/Q72180200,,oil paint; wood,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,soldier; body armor; Flagellation of Christ,German Renaissance,Crowning with Thorns,Kronach,Germany,Lucas Cranach the Elder,male,1520,[57.7],[83.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20cranach%20derision%20du%20christ.JPG,{'nan'},Christ crowned with Thorns,Palais des Beaux-Arts de Lille,,,France,painting,1
59,http://www.wikidata.org/entity/Q72264918,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,painter; Armand Gautier,Realism,,Ornans,France,Gustave Courbet,male,1867,[46.5],[55.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20courbet%20gautier.JPG,{'nan'},Q72264918,Palais des Beaux-Arts de Lille,,,France,painting,1
60,http://www.wikidata.org/entity/Q72280990,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,bijou; woman,Symbolism,,Gournay-sur-Marne,France,Eugène Carrière,male,1900,[50.0],[61.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20carriere%20mme%20carriere.JPG,{'nan'},Q72280990,Palais des Beaux-Arts de Lille,,,France,painting,1
61,http://www.wikidata.org/entity/Q72281383,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,hat; swagger stick; cabin; herb; pond; aquatic plant; heath; moustache; flower,Naturalism,Tobias and the Angel,Samer,France,Jean Charles Cazin,male,1880,[142.0],[186.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20cazin%20tobie%20et%20l%27ange.JPG,{'nan'},Q72281383,Palais des Beaux-Arts de Lille,,,France,painting,1
62,http://www.wikidata.org/entity/Q72296975,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,broad-leaved tree; swagger stick; donkey; lake; Nativity of Jesus; mountain; ceramic; angel; Annunciation to the shepherds; crock,classicism,Nativity of Jesus,Brussels metropolitan area,Belgium,Philippe de Champaigne,male,1643,[116.0],[207.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20champaigne%20nativite.JPG,{'nan'},Q72296975,Palais des Beaux-Arts de Lille,,,France,painting,1
63,http://www.wikidata.org/entity/Q72298247,,oil paint; wood,allegory,Collection of paintings of the Palais des Beaux-Arts de Lille,sitting; temperance; book,Baroque,,Amsterdam,Netherlands,Pieter Codde,male,1633,[34.0],[46.0],http://commons.wikimedia.org/wiki/Special:FilePath/Student%20at%20His%20Desk%20-%20Melancholy%20%281633%29%20by%20Pieter%20Codde.jpg,{'nan'},A Young Student at His Desk: Melancholy,Palais des Beaux-Arts de Lille,,,France,painting,1
64,http://www.wikidata.org/entity/Q72299012,De extase van de heilige Rosalia van Palermo,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,lute; angel; Saint Rosalia; flower,Baroque,,Antwerp,Belgium,Theodoor Boeyermans,male,1700,[166.0],[230.0],http://commons.wikimedia.org/wiki/Special:FilePath/Theodoor%20Boeyermans%20%281620-1678%29%20De%20extase%20van%20de%20heilige%20Rosalia%20van%20Palermo%20-%20Palais%20des%20Beaux%20Arts%20de%20Lille%2025-11-2010%2014-15-22.jpg,{'nan'},The extasy of the holy Saint Rosalie of Palermo,Palais des Beaux-Arts de Lille,,,France,painting,1
65,http://www.wikidata.org/entity/Q72299472,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,Virgin Mary; angel; crown,Baroque; Flemish Baroque painting,Coronation of the Virgin,Bergen op Zoom,Netherlands,Thomas Willeboirts Bosschaert,male,1700,[217.0],[298.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20bosschaert%20couronnement%20vierge.JPG,{'nan'},The Coronation of the Virgin,Palais des Beaux-Arts de Lille,,,France,painting,1
66,http://www.wikidata.org/entity/Q72302008,,oil paint; wood,still life,Collection of paintings of the Palais des Beaux-Arts de Lille,death; bone; wall; skull,German Renaissance,,Wesel; Cologne,Germany,Barthel Bruyn the Elder,male,1540,[45.5],[65.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20batholomeus%20bruyn%20vieux%20crane.JPG,{'nan'},Q72302008,Palais des Beaux-Arts de Lille,,,France,painting,1
67,http://www.wikidata.org/entity/Q72373630,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,trumpet; broad-leaved tree; crowd; soldier; Arecaceae; house; portico; temple; musician; cupola; harp; Goliath; long gallery; tambourine; David; chariot,Rococo,David and Goliath,Paris,France,Nicolas Bertin,male,1730,[195.5],[130.2],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20bertin%20triomphe%20de%20david.JPG,{'nan'},Q72373630,Palais des Beaux-Arts de Lille,,,France,painting,1
68,http://www.wikidata.org/entity/Q72379506,Bouquet champêtre,oil paint; canvas,still life,Collection of paintings of the Palais des Beaux-Arts de Lille,flower,Romanticism,,Saint-Maurice,France,Eugène Delacroix,male,1850,[87.0],[62.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20delacroix%20bouquet.JPG,{'nan'},Bouquet of Wildflowers,Palais des Beaux-Arts de Lille,,,France,painting,1
69,http://www.wikidata.org/entity/Q72402535,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,discussion; child; reading; chandelier; writing,Baroque,,Amsterdam,Netherlands,Gerbrand van den Eeckhout,male,1673,[106.4],[90.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20eeckhout%20denier%20de%20cesar.jpg,{'nan'},Q72402535,Palais des Beaux-Arts de Lille,,,France,painting,1
70,http://www.wikidata.org/entity/Q72459104,,oil paint,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,broad-leaved tree; domestic worker; dog; crock; Child Jesus,Rococo,Adoration of the shepherds,Grasse,France,Jean-Honoré Fragonard,male,1800,[44.5],[56.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20fragonnard%20adoration%20bergers.JPG,{'nan'},Q72459104,Palais des Beaux-Arts de Lille,,,France,painting,1
71,http://www.wikidata.org/entity/Q72461515,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,sitting; book,Flemish Baroque painting,,Mechelen,Belgium,Peter Franchoys,male,1645,[118.5],[144.0],http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Franchoys%20%281606-1654%29%20-%20Portret%20van%20abt%20Nicolaas%20Mutsaerts%20%281645%29%20-%20Palais%20des%20Beaux%20Arts%20de%20Lille%2025-11-2010%2014-24-19.jpg,{'nan'},Q72461515,Palais des Beaux-Arts de Lille,,,France,painting,1
72,http://www.wikidata.org/entity/Q72544122,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,Catholic priest; Q3408851; regalia; soldier; woman; John the Baptist; weapon,Baroque,,Haarlem,Netherlands,Pieter de Grebber,male,1700,[148.0],[115.0],http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20de%20Lille%20P.%20F.%20de%20Grebber.jpg,{'nan'},Q72544122,Palais des Beaux-Arts de Lille,,,France,painting,1
73,http://www.wikidata.org/entity/Q72545144,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,book; ecstasy; Francis of Assisi; skull; crucifix,Spanish Renaissance,,Crete,Greece,El Greco,male,1590,[97.0],[122.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20Pdba%20le%20greco%20st%20francois.JPG,{'nan'},Q72545144,Palais des Beaux-Arts de Lille,,,France,painting,1
74,http://www.wikidata.org/entity/Q72562428,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,painter; Jean-Baptiste Forest,Baroque,Jean-Baptiste Forest,Paris,France,Nicolas de Largillière,male,1704,[96.0],[128.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20Largillierre%20JB%20Forest.JPG,{'nan'},Q72562428,Palais des Beaux-Arts de Lille,,,France,painting,1
75,http://www.wikidata.org/entity/Q72589888,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,book; herb; skull; Mary Magdalene; crucifix; prayer,Baroque,,Paris,France,Eustache Le Sueur,male,1700,[64.0],[48.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20lesueur%20marie%20madeleine.JPG,{'nan'},Q72589888,Palais des Beaux-Arts de Lille,,,France,painting,1
76,http://www.wikidata.org/entity/Q72675446,,oil paint; canvas,allegory,Collection of paintings of the Palais des Beaux-Arts de Lille,money; bag; sceptre; woman; wealth; crown,classicism,,Troyes,France,Pierre Mignard,male,1693,[204.0],[152.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20Pdba%20mignard%20fortune.JPG,{'nan'},Q72675446,Palais des Beaux-Arts de Lille,,,France,painting,1
77,http://www.wikidata.org/entity/Q72681520,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,gadrooning; Soubassement; woman; relief sculpture; sitting; flower; architect; Charles Benvignat,neoclassicism,,Lille,France,Victor Mottez,male,1859,[84.0],[105.0],http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Benvignat%201859.jpg,{'nan'},Q72681520,Palais des Beaux-Arts de Lille,,,France,painting,1
78,http://www.wikidata.org/entity/Q72681995,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,lace; bijou; dress; woman,neoclassicism,,Lille,France,Victor Mottez,male,1840,[105.5],[125.0],http://commons.wikimedia.org/wiki/Special:FilePath/Julie%20Mottez%20by%20Victor%20Mottez.jpg,{'nan'},Q72681995,Palais des Beaux-Arts de Lille,,,France,painting,1
79,http://www.wikidata.org/entity/Q72682332,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,fur; sitting; Louis Désiré Blanquart-Evrard,neoclassicism,,Lille,France,Victor Mottez,male,1859,[95.0],[113.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20mottez%20blanquart%20evrard.JPG,{'nan'},Q72682332,Palais des Beaux-Arts de Lille,,,France,painting,1
80,http://www.wikidata.org/entity/Q72682875,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,trumpet; couple; angel; cloud; tomb; prayer,neoclassicism,,Lille,France,Victor Mottez,male,1870,[248.0],[196.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20Mottez%20resurrection.JPG,{'nan'},Q72682875,Palais des Beaux-Arts de Lille,,,France,painting,1
81,http://www.wikidata.org/entity/Q72683162,,oil paint; canvas,self-portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,beard; painter; Victor Mottez,neoclassicism,,Lille,France,Victor Mottez,male,1855,[50.0],[60.0],http://commons.wikimedia.org/wiki/Special:FilePath/Mottez%20Victor%20%28autoportrait%29.jpg,{'nan'},Q72683162,Palais des Beaux-Arts de Lille,,,France,painting,1
82,http://www.wikidata.org/entity/Q72699009,,oil paint; wood; canvas,mythological painting,Collection of paintings of the Palais des Beaux-Arts de Lille,putto; Ceres; Bacchus; Q3248828; Venus; cloud; fruit,Baroque,,Utrecht,Netherlands,Cornelius van Poelenburgh,male,1700,[73.7],[54.0],http://commons.wikimedia.org/wiki/Special:FilePath/Cornelis%20van%20Poelenburch%20-%20Ceres%2C%20Bacchus%2C%20Venus%20and%20Cupid.jpg,{'nan'},Q72699009,Palais des Beaux-Arts de Lille,,,France,painting,1
84,http://www.wikidata.org/entity/Q72722134,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,book,Baroque,,The Hague,Netherlands,Jan van Ravesteyn,male,1620,[103.0],[131.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20Ravesteyn%20homme.JPG,{'nan'},Q72722134,Palais des Beaux-Arts de Lille,,,France,painting,1
85,http://www.wikidata.org/entity/Q72722443,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,lace; bijou; woman,Baroque,,The Hague,Netherlands,Jan van Ravesteyn,male,1620,[104.5],[134.5],http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20de%20femme%20Jan%20van%20Ravesteyn%20Lille%203118.jpg,{'nan'},Portrait of a Woman,Palais des Beaux-Arts de Lille,,,France,painting,1
86,http://www.wikidata.org/entity/Q72726013,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,headgear; soldier; dice game; entertainment; body armor,Baroque painting,,Maubeuge,France,Nicolas Régnier,male,1700,[190.0],[135.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20regnier%20soldats.JPG,{'nan'},Q72726013,Palais des Beaux-Arts de Lille,,,France,painting,1
87,http://www.wikidata.org/entity/Q72726596,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,swagger stick; prayer; crock; ceramic; sett; container; goldsmithing; chandelier,Rococo,Road to Emmaus appearance,Rouen,France,Jean II Restout,male,1735,[149.5],[283.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20Pdba%20restout%20pelerins.jpg,{'nan'},Q72726596,Palais des Beaux-Arts de Lille,,,France,painting,1
88,http://www.wikidata.org/entity/Q72750483,,oil paint; canvas,self-portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,painter; headgear; spotting scope,Realism,,Saint-Nicolas-d'Attez,France,Augustin Théodule Ribot,male,1900,[60.0],[73.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20ribot%20autoportrait.JPG,{'nan'},Q72750483,Palais des Beaux-Arts de Lille,,,France,painting,1
89,http://www.wikidata.org/entity/Q72750774,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,raven,Realism,,Saint-Nicolas-d'Attez,France,Augustin Théodule Ribot,male,1900,[130.0],[98.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20Ribot%20St%20vincent.JPG,{'nan'},Q72750774,Palais des Beaux-Arts de Lille,,,France,painting,1
90,http://www.wikidata.org/entity/Q72797810,,oil paint; canvas,portrait,Collection of paintings of the Palais des Beaux-Arts de Lille,broad-leaved tree; woman; flower,Baroque,,Sery,France,Robert de Séry,male,1722,[57.5],[71.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20de%20sery%20femme.JPG,{'nan'},Q72797810,Palais des Beaux-Arts de Lille,,,France,painting,1
91,http://www.wikidata.org/entity/Q72801824,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,pig; broad-leaved tree; nudity; dog; crock; ceramic; cow; horse,Baroque; Flemish Baroque painting,,Antwerp,Belgium,Jacob Jordaens,male,1700,[226.0],[169.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20jordaens%20fils%20prodigue.JPG,{'nan'},Q72801824,Palais des Beaux-Arts de Lille,,,France,painting,1
92,http://www.wikidata.org/entity/Q72802145,,oil paint; canvas,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,balustrade; money; book; Jesus; Pharisees; angel; thurible,Baroque; Flemish Baroque painting,,Antwerp,Belgium,Jacob Jordaens,male,1700,[239.0],[158.5],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20jordaens%20jesus.jpg,{'nan'},Q72802145,Palais des Beaux-Arts de Lille,,,France,painting,1
93,http://www.wikidata.org/entity/Q72828261,,oil paint; wood,religious art,Collection of paintings of the Palais des Beaux-Arts de Lille,path; book; bay; Philip the Apostle; Baptism of Jesus; tree; prayer,Mannerism,Baptism of Jesus,Montfoort,Netherlands,Anthonie Blocklandt van Montfoort,male,1600,[85.0],[177.0],http://commons.wikimedia.org/wiki/Special:FilePath/Lille%20PdBA%20blocklandt%20bapteme%20christ.jpg,{'nan'},Q72828261,Palais des Beaux-Arts de Lille,,,France,painting,1
