,wikidataUrl,titleLabel,materialLabel,genreLabel,collectionLabel,depicts,movement,subjectLabel,creatorBirthPlaceLabel,creatorCountry,creatorLabel,year,image,startTime,artworkLabel,locLabel,id,width,height
279,http://www.wikidata.org/entity/Q29656125,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Jesus and the woman taken in adultery,Baroque,Jesus and the woman taken in adultery,Leiden,Netherlands,Gabriël Metsu,1653,http://commons.wikimedia.org/wiki/Special:FilePath/Metsu%20LeChristEtLaFemmeAdultere.jpg,{'nan'},Christ and the Woman taken in Adultery,Louvre Museum,Q29656125,165.0,134.0
280,http://www.wikidata.org/entity/Q29656185,,oil paint; canvas,religious art,Department of Paintings of the Louvre,goldsmithing; Last Supper; candlestick,Baroque,Last Supper,Liège,Belgium,Gerard de Lairesse,1700,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9rard%20de%20Lairesse%20-%20The%20Institution%20of%20the%20Eucharist%20-%20WGA12391.jpg,{'nan'},Institution of the Eucharist,Louvre Museum,Q29656185,155.0,137.0
281,http://www.wikidata.org/entity/Q29656402,,copper; oil paint,self-portrait,Department of Paintings of the Louvre,Karel Dujardin; man,Dutch Golden Age painting,Karel Dujardin,Amsterdam,Netherlands,Karel Dujardin,1657,http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Dujardin.jpg,{'nan'},Self-Portrait,Louvre Museum,Q29656402,19.0,23.3
282,http://www.wikidata.org/entity/Q29656432,,wood; oil paint,self-portrait,Department of Paintings of the Louvre,palette; hat; window; man; Gerrit Dou; painter,fijnschilder; Dutch Golden Age painting,Gerrit Dou,Leiden,Netherlands,Gerrit Dou,1650,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9rard%20Dou.jpg,{'nan'},Portrait of the Artist with a Palette,Louvre Museum,Q29656432,21.0,31.3
283,http://www.wikidata.org/entity/Q29656597,,wood; oil paint,interior view,Department of Paintings of the Louvre,long gallery; cathedral; conversation; old age; dog,Flemish Baroque painting,,Antwerp,Belgium,Pieter Neeffs,1644,http://commons.wikimedia.org/wiki/Special:FilePath/Neefs%20%28I%29%2C%20View%20of%20the%20interior%20of%20a%20church.JPG,{'nan'},"Interior of a Church, Inspired by the Antwerp Cathedral",Louvre Museum,Q29656597,112.0,89.0
284,http://www.wikidata.org/entity/Q29656598,,wood; oil paint,religious art,Department of Paintings of the Louvre,Peter; prison; long gallery,Flemish Baroque painting,,Antwerp,Belgium,Pieter Neeffs,1625,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Neefs%20the%20Elder%20-%20The%20Liberation%20of%20Saint%20Peter.jpg,{'nan'},Q29656598,Louvre Museum,Q29656598,64.5,48.5
285,http://www.wikidata.org/entity/Q29656617,,oil paint; canvas,religious art,Department of Paintings of the Louvre,nudity; pigeon; Holy Spirit; angel; Virgin Mary; hell,Baroque; Flemish Baroque painting,Day of Judgment,Antwerp,Belgium,Jacob Jordaens,1653,http://commons.wikimedia.org/wiki/Special:FilePath/Jugement%20dernier%20Jacob%20Jordaens.JPG,{'nan'},Q29656617,Louvre Museum,Q29656617,300.0,391.0
286,http://www.wikidata.org/entity/Q29656727,,oil paint; canvas,religious art,Department of Paintings of the Louvre,nudity; man; Saint Sebastian; broad-leaved tree; dog,Baroque painting,martyrdom of Saint Sebastian,Antwerp,Belgium,Anthony van Dyck,1615,http://commons.wikimedia.org/wiki/Special:FilePath/Anthony%20van%20Dyck%20-%20Saint%20Sebastian%2C%20Louvre.jpg,{'nan'},The Martyrdom of Saint Sebastian,Louvre Museum,Q29656727,117.0,144.0
287,http://www.wikidata.org/entity/Q29656735,,oil paint; canvas,religious art,Department of Paintings of the Louvre,death; Saint Sebastian; broad-leaved tree; arrow; angel,Baroque painting,martyrdom of Saint Sebastian,Antwerp,Belgium,Anthony van Dyck,1630,http://commons.wikimedia.org/wiki/Special:FilePath/Anthony%20van%20Dyck%20-%20Saint%20Sebastian%20with%20Angels%2C%20Louvre.jpg,{'nan'},Saint Sebastian Tended by Angels,Louvre Museum,Q29656735,145.0,198.0
288,http://www.wikidata.org/entity/Q29656769,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Mary Magdalene; David; Madonna and Child; Parable of the Prodigal Son,Baroque painting,Madonna and Child,Antwerp,Belgium,Anthony van Dyck,1629,http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Dyck%20-%20LA%20VIERGE%2C%20L%27ENFANT%20JESUS%20ET%20LES%20TROIS%20REPENTANTS%20%28DAVID%2C%20MADELEINE%20ET%20LE%20FILS%20PRODIGUE%29%2C%201627%20entre%2C%201632%20et.jpg,{'nan'},Madonna and Child with Three Repentant Sinners,Louvre Museum,Q29656769,157.0,117.0
289,http://www.wikidata.org/entity/Q29656806,,oil paint; canvas,religious art,Department of Paintings of the Louvre,crucifixion of Jesus; angel; prayer; Francis of Assisi; Mary Magdalene; Jesus,Baroque,crucifixion of Jesus,Antwerp,Belgium,Gaspar de Crayer,1625,http://commons.wikimedia.org/wiki/Special:FilePath/Gaspar%20de%20Crayer%20%E2%80%93%20The%20Crucifixion%20with%20Saint%20Mary%20Magdalene%20and%20Saint%20Francis.jpg,{'nan'},The Crucifixion with Saint Mary Magdalene and Saint Francis,Louvre Museum,Q29656806,288.0,408.0
290,http://www.wikidata.org/entity/Q29656807,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Saint Dominic; Anthony the Great; Augustine of Hippo; angel; palm branch; Saint Barbara,Baroque,,Antwerp,Belgium,Gaspar de Crayer,1643,http://commons.wikimedia.org/wiki/Special:FilePath/Gaspar%20de%20Crayer%20-%20The%20Virgin%20and%20Child%20with%20the%20Saints%20Dominic%2C%20Anthony%2C%20Augustine%2C%20Monica%2C%20Dorothea%2C%20and%20Barbara.jpg,{'nan'},"The Virgin and Child with the Saints Dominic, Anthony, Augustine, Monica, Dorothea, and Barbara",Louvre Museum,Q29656807,270.0,387.0
291,http://www.wikidata.org/entity/Q29656809,le fumeur (portrait de l'artiste ?); The smoker (portrait of the artist?),wood; oil paint,self-portrait,Department of Paintings of the Louvre,bottle; Joos van Craesbeeck; smoking; man; pipe,Baroque,Joos van Craesbeeck,Linter,Belgium,Joos van Craesbeeck,1625,http://commons.wikimedia.org/wiki/Special:FilePath/Joos%20van%20Craesbeeck%20-%20The%20Smoker.jpg,{'nan'},The Smoker,Louvre Museum,Q29656809,32.0,41.0
292,http://www.wikidata.org/entity/Q29656812,Peintre Faisant un Portrait; dit autrefois l'atelier de Craesback,wood; oil paint,genre art; self-portrait,Department of Paintings of the Louvre,bed; seat; table; man; painter; child,Baroque,Joos van Craesbeeck,Linter,Belgium,Joos van Craesbeeck,1625,http://commons.wikimedia.org/wiki/Special:FilePath/Joos%20van%20Craesbeeck%20-%20PEINTRE%20FAISANT%20UN%20PORTRAIT.jpg,{'nan'},A Painter Painting a Portrait,Louvre Museum,Q29656812,102.0,85.0
293,http://www.wikidata.org/entity/Q29656820,,wood; oil paint,landscape art,Department of Paintings of the Louvre,cow; house; landscape; man; barrel; broad-leaved tree; vivarium; woman; duck; well,Baroque,,Antwerp,Belgium,Jan Brueghel the Younger,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Brueghel%20the%20Younger%20Farmyard.jpg,{'nan'},Farmyard,Louvre Museum,Q29656820,75.0,46.5
294,http://www.wikidata.org/entity/Q29656877,,copper; oil paint,allegory,Department of Paintings of the Louvre,sphere; swan; bird; pelican; spotting scope; putto; tree; Phoenicopteriformes,Flemish Baroque painting,,Brussels metropolitan area,Belgium,Jan Brueghel the Elder,1621,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Brueghel%20%28I%29%20-%20Air%20%28Optics%29%20-%20WGA3548.jpg,{'nan'},Q29656877,Louvre Museum,Q29656877,65.0,45.0
295,http://www.wikidata.org/entity/Q29656879,,copper; oil paint,religious art,Department of Paintings of the Louvre,goat; Garden of Eden; tulip; elephant; lion; dog; mammal; landscape; flower; Meleagris; peafowl; horse; God the Father; broad-leaved tree; Macaw; tree of life; Eve; bird; Red Deer; fox; leopard; cow,Flemish Baroque painting,,Brussels metropolitan area,Belgium,Jan Brueghel the Elder,1621,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Brueghel%20%28I%29%20-%20Earth%20%28The%20Earthly%20Paradise%29%20-%20WGA3552.jpg,{'nan'},Earth or The Earthly Paradise,Louvre Museum,Q29656879,65.0,45.0
296,http://www.wikidata.org/entity/Q29784123,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Last Supper; column,classicism,Last Supper,Les Andelys,France,Nicolas Poussin,1641,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Poussin%20-%20The%20Institution%20of%20the%20Eucharist%20-%20WGA18310.jpg,{'nan'},The Institution of the Eucharist,Louvre Museum,Q29784123,250.0,325.0
297,http://www.wikidata.org/entity/Q29840026,,oil paint; canvas,religious art,Department of Paintings of the Louvre,nudity; judge,classicism,Susanna and the Elders,Magny-en-Vexin,France,Jean-Baptiste Santerre,1704,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20Santerre%20-%20Susanna%20at%20the%20Bath%20-%20WGA20815.jpg,{'nan'},Q29840026,Louvre Museum,Q29840026,145.0,205.0
298,http://www.wikidata.org/entity/Q29840297,,wood; oil paint,religious art,Department of Paintings of the Louvre,throne; Presentation of Jesus at the Temple,Baroque painting,Presentation of Jesus at the Temple,Perpignan,France,Hyacinthe Rigaud,1743,http://commons.wikimedia.org/wiki/Special:FilePath/Pr%C3%A9sentation%20au%20temple%20Rigaud.jpg,{'nan'},Q29840297,Louvre Museum,Q29840297,68.0,83.0
299,http://www.wikidata.org/entity/Q29840364,,oil paint; canvas,self-portrait,Department of Paintings of the Louvre,Henri-François Riesener; man; painter,neoclassicism,Henri-François Riesener,Paris,France,Henri-François Riesener,1800,http://commons.wikimedia.org/wiki/Special:FilePath/RiesenerAuto.jpg,{'nan'},Self-portrait,Louvre Museum,Q29840364,50.0,60.0
